,make,fuel-type,body-style,curb-weight,num-of-cylinders,engine-size,horsepower,city-mpg,highway-mpg,price
0,alfa-romero,gas,convertible,2548,4,130,111.0,21,27,13495.0
1,alfa-romero,gas,convertible,2548,4,130,111.0,21,27,16500.0
2,alfa-romero,gas,hatchback,2823,6,152,154.0,19,26,16500.0
3,audi,gas,sedan,2337,4,109,102.0,24,30,13950.0
4,audi,gas,sedan,2824,5,136,115.0,18,22,17450.0
5,audi,gas,sedan,2507,5,136,110.0,19,25,15250.0
6,audi,gas,sedan,2844,5,136,110.0,19,25,17710.0
7,audi,gas,wagon,2954,5,136,110.0,19,25,18920.0
8,audi,gas,sedan,3086,5,131,140.0,17,20,23875.0
9,audi,gas,hatchback,3053,5,131,160.0,16,22,
10,bmw,gas,sedan,2395,4,108,101.0,23,29,16430.0
11,bmw,gas,sedan,2395,4,108,101.0,23,29,16925.0
12,bmw,gas,sedan,2710,6,164,121.0,21,28,20970.0
13,bmw,gas,sedan,2765,6,164,121.0,21,28,21105.0
14,bmw,gas,sedan,3055,6,164,121.0,20,25,24565.0
15,bmw,gas,sedan,3230,6,209,182.0,16,22,30760.0
16,bmw,gas,sedan,3380,6,209,182.0,16,22,41315.0
17,bmw,gas,sedan,3505,6,209,182.0,15,20,36880.0
18,chevrolet,gas,hatchback,1488,3,61,48.0,47,53,5151.0
19,chevrolet,gas,hatchback,1874,4,90,70.0,38,43,6295.0
20,chevrolet,gas,sedan,1909,4,90,70.0,38,43,6575.0
21,dodge,gas,hatchback,1876,4,90,68.0,37,41,5572.0
22,dodge,gas,hatchback,1876,4,90,68.0,31,38,6377.0
23,dodge,gas,hatchback,2128,4,98,102.0,24,30,7957.0
24,dodge,gas,hatchback,1967,4,90,68.0,31,38,6229.0
25,dodge,gas,sedan,1989,4,90,68.0,31,38,6692.0
26,dodge,gas,sedan,1989,4,90,68.0,31,38,7609.0
27,dodge,gas,sedan,2191,4,98,102.0,24,30,8558.0
28,dodge,gas,wagon,2535,4,122,88.0,24,30,8921.0
29,dodge,gas,hatchback,2811,4,156,145.0,19,24,12964.0
30,honda,gas,hatchback,1713,4,92,58.0,49,54,6479.0
31,honda,gas,hatchback,1819,4,92,76.0,31,38,6855.0
32,honda,gas,hatchback,1837,4,79,60.0,38,42,5399.0
33,honda,gas,hatchback,1940,4,92,76.0,30,34,6529.0
34,honda,gas,hatchback,1956,4,92,76.0,30,34,7129.0
35,honda,gas,sedan,2010,4,92,76.0,30,34,7295.0
36,honda,gas,wagon,2024,4,92,76.0,30,34,7295.0
37,honda,gas,hatchback,2236,4,110,86.0,27,33,7895.0
38,honda,gas,hatchback,2289,4,110,86.0,27,33,9095.0
39,honda,gas,sedan,2304,4,110,86.0,27,33,8845.0
40,honda,gas,sedan,2372,4,110,86.0,27,33,10295.0
41,honda,gas,sedan,2465,4,110,101.0,24,28,12945.0
